Dates, Index, Long Short Equity, Distressed Debt, Large, Arbitrage, Medium, Billion Dollar, CTA/Managed Futures, Multi-Strategy, Small, Fixed Income, Event Driven, Macro, Relative Value, Top 50, SPY
2006-05-31,223.507036857448,223.477233073045,270.001738136301,177.20221637404,178.427845754003,189.03469414851295,187.082410708557,237.385248614582,237.544804795597,250.79587808897202,193.614333450877,223.156953640444,210.13630865212897,221.476052504538,,95.51449496720316
2006-06-30,222.918362577309,222.18110690449902,270.143472052161,176.76839487649102,179.670289619338,188.11196012321705,186.547103269636,235.826067102319,238.441434256008,249.94800898647702,193.853829986163,223.27483201065,209.97356613520802,221.182119202467,,95.76359425964199
2006-07-31,222.601521471165,221.712105166142,270.355038204405,176.725950017846,180.912095560298,187.73436987763,186.597702718432,232.51955090183895,239.71409711643105,249.394250633984,195.102992838783,222.151632705643,211.716570346268,221.851550580152,,96.1924512265744
2006-08-31,224.89903612909802,224.44059065904997,272.496601001193,178.23825751105,182.38761091287498,189.35211270055302,188.003646354365,234.415813103283,242.07687963849202,252.08209185106602,196.80164349886797,225.663617425426,212.467541061324,223.43516547253503,,98.29159522280868
2006-09-29,225.323218201252,224.960084357207,274.431856062404,178.627227632651,183.73228595314998,189.697910900293,188.44587396516,233.08683663228803,243.77878412848202,252.208865496673,198.148732952256,226.581283180322,211.630088988461,224.334726608159,,100.94558617381495
2006-10-31,229.33231054580503,229.907208068321,279.93722908434,181.643691571638,185.41350794027,192.794530099103,191.339413276329,236.429532872334,248.228169128988,256.525091372692,199.832777581769,231.759979089372,214.130007511085,227.808039207043,,104.12714499740473
2006-11-30,234.343019485481,235.665239477518,284.871391190503,184.583002146082,186.809295103834,196.41663136704497,194.12290317277802,242.977261874092,253.256040306199,262.287952776152,201.55932412638302,236.82619430947798,218.116668930498,231.244293545525,,106.19767978066677
2006-12-29,238.14431698669497,240.403970036785,289.888473204012,187.945668764208,189.222492719734,200.073973918515,197.86059179584203,243.943385817841,258.525518524388,266.21210780733503,203.362312716636,241.779847148904,221.61175382199798,234.059927097431,100.0,107.61769700244007
2007-01-31,241.186370701132,243.78371340433497,294.794619641341,190.073495339537,191.899270805552,202.38401178512,200.10868478857398,246.828994248611,261.839486168205,269.610859309355,205.23481491164296,246.442792504701,222.68546874109902,236.666112441424,101.21883108155399,109.23632935284729
2007-02-28,242.848604785504,245.917490802534,301.987072091838,191.31681061946801,194.25294028569303,203.84196170246202,201.384239115895,245.32094508277697,264.416461181064,271.215102102284,206.880339077807,249.857794387831,223.398232789389,237.76241628481498,102.26199694869801,107.09335944747431
2007-03-30,244.720749982237,249.223101882803,304.636453889564,193.467625669113,195.38184284546003,205.77890927166303,204.23523118387,242.28541987856602,267.435437254617,272.875520195835,208.379703897229,253.653775945116,225.43483503326001,239.227771289632,103.504172041382,108.33447027845564
2007-04-30,249.40862421424703,254.58992724920398,310.081225285612,197.213671457371,196.699545690523,209.69799126239602,208.47937910479197,247.038612255472,273.33425355214297,277.91446182647496,210.126518536233,259.746981972508,229.328362167538,243.338791773891,105.347142562287,113.1332097097115
2007-05-31,254.74522529493697,261.086859307865,314.71044451855,201.749791180412,198.93944527957905,214.101906300682,213.794888944775,251.63352339921002,279.86988307198,283.7621242048411,211.99751155016497,264.998717812221,234.210415391564,247.064907355218,107.60437710244801,116.97069782689312
2007-06-29,257.692922849662,264.284955329965,318.076857721274,203.761415515397,200.10944087469503,216.480843597089,215.825757189313,256.30746512796003,283.233384507008,287.069817316756,211.434302627472,265.694326965041,237.44792858750802,248.42392784475499,108.47894681720899,115.26051447482523
2007-07-31,259.124656679663,267.137635770741,318.543976874089,205.070043866594,200.647019337952,217.73350463779,215.79811035256802,254.463228833778,286.04262522431,288.40954968186696,211.142289663042,264.299411077085,240.296848356628,248.530588987984,109.428310251006,111.65164163601222
2007-08-31,256.004846474085,263.241627029794,316.747105270667,201.67295453697497,199.56949238609297,214.22331786546002,212.627130101936,250.803077564983,283.779619329794,284.606880837426,209.767799056348,259.595324066512,237.06986379911098,251.611251653651,107.63417980390801,113.08444331480447
